name,otherNames,scientificName,popularity
Chloridoideae,,,10
Chlorophyta,,,
Choanoflagellate,,Choanoflagellatea,
Choloepodini,,,
Chordate,,Chordata,50
Chthonosaurus,,,10
Chuniaoae,,,
Cimolesta,,,
Cimolodonta,,,
Cimolomys,,,10
Cindarella,,,10
Cingulata,,,
Cinnamon,,Cinnamomum,65
Cistecephalus,,,10
Citipati,,,10
Cladosictis,,,10
Cladotheria,,,
Clamorosaurus,,,10
Claudiosaurus,,Claudiosauridae,
Clelandina,,,10
Climacoceratidae,,,
Climbing mice,,Dendromurinae,50
Clitellata,,,10
Clubmoss,,Lycopodiaceae,50
Cnidaria,,,
Coahuilaceratops,,,10
Coastal topi,,Damaliscus lunatus topi,50
Coatis subclade 1,,,
Coatis,,,40
Coccosteus,,,
Cochleosauridae subclade 1,,,
Cochleosauridae,,,
Cochleosaurus,,,10
Coelophysis,,,20
Coelurosauria subclade 1,,,
Coelurosauria,,,
Coleoidea,,,
Collared lemming,,Dicrostonyx,50
Colombian soft-furred spiny rat,,Diplomys caniceps,50
Colosteidae,,,
Colosteus,,,10
Colugo,"[""Flying lemurs""]",Dermoptera,40
Comahuesuchus,,,10
Commelinales,,,10
Commelinids sublcade 1,,,
Commelinids,,,
Common agouti,,Dasyprocta,50
Common crag lizard,,,50
Common dolphin,,Delphinus,70
Common eland,,,50
Common tsessebe,,Damaliscus lunatus lunatus,50
Common wallaroo,,Macropus robustus,50
Common warthog,,Phacochoerus africanus,70
Common yew,,Taxus,60
Compsognathidae subclade 1,,,
Compsognathidae subclade 2,,,
Compsognathidae subclade 3,,,
Compsognathidae subclade 4,,,
Compsognathidae,,,
Compsognathus,,,50
Concavenator,,,10
Conchifera subclade 1,,,
Conchifera,,,
Conchoraptor,,,10
Conciliterga subclade 1,,,
Conciliterga subclade 2,,,
Conciliterga,,,
Condorraptor,,,10
Conifer subclade 1,,,
Conifer subclade 2,,,
Conifer subclade 3,,,
Conifer subclade 4,,,
Conifer subclade 5,,,
Conifer subclade 6,,,
Conifer,,"Pinopsida, Coniferophyta, Coniferae",55
Connochaetes,,,
Conodont,,,
Contectopalatus,,,10
Cordaites,,,10
Cordylidae,,,
Cordylomorpha,,,
Cordylus,"[""girdle-tailed lizards"", ""girdled lizards""]",,10
Core pooideae subclade 1,,,
Core pooideae,,,
Corn,"[""maize"", ""Indian corn""]",Zea mays,80
Coronosauria subclade 1,,,
Coronosauria subclade 2,,,
Coronosauria subclade 3,,,
Coronosauria,,,
Coruro,,Spalacopus cyanus,50
Corythosaurus,,,10
Corytophanidae subclade 1,,,
Corytophanidae,,,
Costaceae,,,30
Cotton rat,,Sigmodon,50
Cottontail rabbit,,Sylvilagus,75
Cotylorhynchus,,,20
Coypu,,Myocastor coypus,50
Cozumel raccoon,,Procyon pygmaeus,30
Crab-eating raccoon,,Procyon cancrivorus,30
Crab-eating rat,,Ichthyomys hydrobates,50
Craniata,,,
Crassigyrinus,,,10
Creodonta,,,
Cricetidae,,,
Crocodile subclade 1,"[""test""]",,
Crocodile subclade 2,,,
Crocodile,,Crocodylinae,80
Crocodilia subclade 1,,,
Crocodilia,"[""Crocodylia""]",,
Crocodylidae,,,
Crocodyliformes,,,
Crocodylomorpha subclade 1,,,
Crocodylomorpha subclade 2,,,
Crocodylomorpha,,,20
Crocodylus anthropophagus,,,10
Crocodylus subclade 1,,,
Crocodylus subclade 2,,,
Crocodylus subclade 3,,,
Crocodylus subclade 4,,,
Crocodylus subclade 5,,,
Crocodylus thorbjarnarsoni,,,10
Crocodylus,,,
Cronopio,,,
